0;10
0.015;20
0.023;30
0.031;40
0.037;50
0.074;75
0.173;100
0.291;150
0.532;200
1.333;350
0;10
0.007;20
0.024;30
0.03;40
0.037;50
0.082;75
0.125;100
0.259;150
0.427;200
1.296;350
